record_id,question,answer,pred_material,gold_material,pred_formula,gold_formula,pred_numeric_value,gold_numeric_value,pred_unit,gold_unit,pred_property,gold_property,pred_phase,gold_phase,pred_structure,gold_structure,pred_method,gold_method,pred_evidence,gold_evidence,pred_qualifier,gold_qualifier,annotator_comment,annotation_complete,constraint_family,document_status_raw,blind_id
resp_02ade0d87e9c584b,What is the main materials-science claim reported in the source titled 'Reversible Superdense Ordering of Tetragonal Lithium in a Layered Material'?,"Understanding if low-energy excitations can remain itinerant in the presence of strong disorder remains a central challenge in frustrated quantum magnets, where disorder is generally expected to localize excitations through Anderson-like mechanisms.",,,,,,,,,,,,,,,,,,low-energy excitations; strong disorder; Anderson-like mechanisms,,,,yes,natural_claim,incomplete,BLIND-0151
resp_02d9f4f2957499fa,What is the formation energy of Mg2Si3?,The formation energy of Mg2Si3 is 5.5 eV/atom.,Mg2Si3,Mg2Si3,Mg2Si3,Mg2Si3,5.5,5.5,eV/atom,eV/atom,formation_energy,formation_energy,,,,,,,formation energy,formation energy,,,,yes,formation_energy,outdated_or_incorrect,BLIND-0113
resp_012d9505a910a81a,What is the band gap of U?,The band gap of U is 0.0 eV according to Materials Project.,,U,,U,0.0,0.0,eV,eV,band_gap,band_gap,,,,,,Materials Project,,,,,,yes,band_gap,current,BLIND-0065
resp_042c8299d5161ab3,Is C thermodynamically stable?,C is stable.,,C,,C,,,,,stability,stability,,,,,,,,,,,,yes,stability,incomplete,BLIND-0133
resp_00c64e8e4da40e43,Is Pm thermodynamically stable?,Pm has energy above hull 0.016863862499999 eV/atom and formation energy 0.016863862499999 eV/atom; Materials Project stable is False.,,Pm,,Pm,0.016863862499999,0.016863862499999,eV/atom,eV/atom,formation_energy; stability,formation_energy; stability,,,,,,,energy above hull; formation energy,energy above hull; formation energy,,stable is False,,yes,formation_energy,current,BLIND-0051
resp_00ac7c4ca758b0f2,What is the band gap of Ba?,The band gap of Ba is 16.5 eV.,,Ba,,Ba,16.5,16.5,eV,eV,band_gap,band_gap,,,,,,,,,,,,yes,band_gap,outdated_or_incorrect,BLIND-0048
resp_013a5b6f64fffd39,What is the formation energy of Pu?,The formation energy of Pu is 5.5 eV/atom.,,Pu,,Pu,5.5,5.5,eV/atom,eV/atom,formation_energy,formation_energy,,,,,,,formation energy,formation energy,,,,yes,formation_energy,outdated_or_incorrect,BLIND-0069
resp_0146648feefb0191,Is Kr metallic or insulating based on its band gap?,Kr is metallic with a band gap of 7.1667 eV.,,Kr,,Kr,7.1667,7.1667,eV,eV,band_gap; conductivity,band_gap; conductivity,,,,,,,,,,,,yes,band_gap,outdated_or_incorrect,BLIND-0073
resp_034f45ae91e9af35,Is S thermodynamically stable?,S has energy above hull 0.042196687187500005 eV/atom and formation energy 0.042196687187500005 eV/atom; Materials Project stable is False.,,S,,S,0.0421966871875,0.042196687187500005,eV/atom,eV/atom,formation_energy; stability,formation_energy; stability,,,,,,,energy above hull; formation energy,energy above hull; formation energy,,stable is False,,yes,formation_energy,current,BLIND-0122
resp_09b384cf9d284df0,Is CdS a superconductor?,Fe2O3 exhibits superconductivity with a measured Tc of 33 K.,Fe2O3,Fe2O3,Fe2O3,Fe2O3,33.0,33,K,K,temperature; superconductivity,temperature; superconductivity,,,,,,,measured,measured Tc,,,"Superconductivity/Tc is for Fe2O3, not queried CdS.",yes,temperature,current,BLIND-0194
resp_0001858ac01dbee3,Is Si thermodynamically stable?,Si is stable.,,Si,,Si,,,,,stability,stability,,,,,,,,,,,,yes,stability,incomplete,BLIND-0033
resp_007f29ab4a684a79,Is S metallic or insulating based on its band gap?,S is metallic with a band gap of 2.4187 eV.,,S,,S,2.4187,2.4187,eV,eV,band_gap; conductivity,band_gap; conductivity,,,,,,,,,,,,yes,band_gap,outdated_or_incorrect,BLIND-0044
resp_02cdd1c21c3f9e36,What is the formation energy of Hg?,The formation energy of Hg is 0.011028022499999 eV/atom.,,Hg,,Hg,0.011028022499999,0.011028022499999,eV/atom,eV/atom,formation_energy,formation_energy,,,,,,,formation energy,formation energy,,,,yes,formation_energy,current,BLIND-0111
resp_11374dccf007ac35,What is the main materials-science claim reported in the source titled 'Effects of Band Symmetry on Spin-Dependent Transport in Noncollinear Antiferromagnetic Tunnel Junctions'?,"In conventional superconductors, Cooper pairs form in an even-parity spin-singlet state.",,conventional superconductors,,,,,,,,superconductivity,,,,,,,,Cooper pairs; even-parity spin-singlet state,,,,yes,superconductivity,incomplete,BLIND-0171
resp_31c6bc06631b421b,Can the material be called superconducting without reporting Tc or evidence?,"Superconductivity claims should report Tc, measured evidence, or a transition temperature.",,,,,,,,,temperature; superconductivity,temperature; superconductivity,,,,,,,measured; transition temperature,Tc; measured evidence; transition temperature,,,,yes,temperature,current,BLIND-0024
resp_594bf498601bc9f7,What is the main materials-science claim reported in the source titled 'Spin-polarization of the electric current in half-metallic Co$_2$MnSi Heusler thin films'?,"This study explores the emergence of superconductivity in high-quality ZrTe$_{2-x}$Se$_x$ crystals, grown via the isothermal chemical vapor transport (ICVT) technique.",ZrTe,ZrTe$_{2-x}$Se$_x$ crystals,ZrTe,ZrTe$_{2-x}$Se$_x$,,,,,superconductivity,superconductivity,,,,,,isothermal chemical vapor transport (ICVT),,emergence of superconductivity,,,,yes,chemical_formula,incomplete,BLIND-0188
resp_014e312a78c8864f,What is the band gap of Mg9Si5?,The band gap of Mg9Si5 is 0.0 eV according to Materials Project.,Mg9Si5,Mg9Si5,Mg9Si5,Mg9Si5,0.0,0.0,eV,eV,band_gap,band_gap,,,,,,Materials Project,,,,,,yes,band_gap,current,BLIND-0074
resp_05d16a0dbb54d998,Is S thermodynamically stable?,S is stable.,,S,,S,,,,,stability,stability,,,,,,,,,,,,yes,stability,incomplete,BLIND-0142
