盲标编号,sample_id,response_id,base_task_id,constraint_family,document_status,source_kind,model,mode,是否存在科学违规_A,是否存在科学违规_B,违规类型（可多选）_A,违规类型（可多选）_B,严重程度_A,严重程度_B,来源说明是否充分_A,来源说明是否充分_B,标注信心_A,标注信心_B,expert_agreement,protocol_adjudicated_label,protocol_adjudicated_violation,protocol_adjudicated_type,protocol_adjudicated_severity,protocol_adjudication_basis,protocol_adjudication_method,auto_violation,auto_constraint_violations_optimized,qwen_plus_violation,qwen_max_violation,human_final_label,human_final_violation,human_final_type,human_final_severity,human_final_basis,human_final_method
BLIND-0064,mp_bal_v2_0045_stability_incomplete,resp_0122484a0977a12a,task_0bc31211534aba6d,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0065,mp_bal_v2_0793_band_gap_current,resp_012d9505a910a81a,task_ec9f622137196b68,band_gap,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0066,mp_bal_v2_0821_formation_current,resp_0132e6f9514ee0d6,task_69115eb6e526fcbd,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0067,mp_bal_v2_0742_formation_noisy_high,resp_013360c15aa9fb4b,task_f05cb054ead6ea8f,formation_energy,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,形成能;来源可靠性,形成能,主要错误,主要错误,不充分,不充分,高,高,True,是,True,形成能,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict;formation_energy_typical_range,True,True,是,True,形成能,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0068,mp_bal_v2_0545_formation_current,resp_0135c76207452f1f,task_3c285449cdb4ca38,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0069,mp_bal_v2_0541_formation_noisy_high,resp_013a5b6f64fffd39,task_706fbea5ec43f983,formation_energy,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,形成能;来源可靠性,形成能,主要错误,主要错误,不充分,不充分,高,高,True,是,True,形成能,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict;formation_energy_typical_range,True,True,是,True,形成能,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0070,mp_bal_v2_0678_stability_incomplete,resp_013f64b255e20724,task_4995433d5697e067,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0071,mp_bal_v2_0981_formation_current,resp_014334995e5b562d,task_9b29a234e40aa1de,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0072,mp_bal_v2_0257_formation_noisy_high,resp_014526fa7d170ed6,task_86374c90813433e1,formation_energy,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,形成能;来源可靠性,形成能,主要错误,主要错误,不充分,不充分,高,高,True,是,True,形成能,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict;formation_energy_typical_range,True,True,是,True,形成能,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0073,mp_bal_v2_0678_conductivity_gap_conflict,resp_0146648feefb0191,task_1248bc1764770a84,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,电导率-带隙一致性,电导率-带隙一致性,主要错误,主要错误,充分,充分,高,高,True,是,True,电导率-带隙一致性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,conductivity_band_gap_consistency,True,True,是,True,电导率-带隙一致性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0074,mp_bal_v2_0941_band_gap_current,resp_014e312a78c8864f,task_e0178d3bac46583f,band_gap,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0075,mp_bal_v2_0235_formation_noisy_high,resp_0161e2004a140640,task_8c355833e6577aac,formation_energy,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,形成能;来源可靠性,形成能,主要错误,主要错误,不充分,不充分,高,高,True,是,True,形成能,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict;formation_energy_typical_range,True,True,是,True,形成能,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0076,mp_bal_v2_0050_band_gap_current,resp_016bc17d5d71df3e,task_bec8682944f8a7d0,band_gap,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0077,mp_bal_v2_0430_conductivity_gap_conflict,resp_0194fbf3e6ca771e,task_e5e88e74e126b358,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,电导率-带隙一致性,电导率-带隙一致性,主要错误,主要错误,充分,充分,高,高,True,是,True,电导率-带隙一致性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,conductivity_band_gap_consistency,True,True,是,True,电导率-带隙一致性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0078,mp_bal_v2_0055_stability_incomplete,resp_019b7f2ab7296fe4,task_9ef7159cf62fc6ee,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0079,mp_bal_v2_0838_formation_current,resp_01a14d5935fc26bc,task_fde68c102eec274a,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0080,mp_bal_v2_0381_band_gap_high,resp_01a879b255089ddf,task_a964c944ab381e10,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,band_gap_physical_range,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0081,mp_bal_v2_0653_formation_current,resp_01af79feb3c5f331,task_7db108fbd3f40df6,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0082,mp_bal_v2_0477_conductivity_gap_conflict,resp_01d76012e5c3bf9a,task_9671d051dd75edf1,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,电导率-带隙一致性,电导率-带隙一致性,主要错误,主要错误,充分,充分,高,高,True,是,True,电导率-带隙一致性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,conductivity_band_gap_consistency,True,True,是,True,电导率-带隙一致性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0083,mp_bal_v2_0653_stability_incomplete,resp_01d9cbfe8f555361,task_fd0bb4b065fad2f6,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0084,mp_bal_v2_0610_stability_current,resp_0203e28e19d28427,task_d0c07c287c233e75,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0085,mp_bal_v2_0850_formation_noisy_high,resp_0207216ae9d47812,task_f289c01fa9134ac3,formation_energy,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,形成能;来源可靠性,形成能,主要错误,主要错误,不充分,不充分,高,高,True,是,True,形成能,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,formation_energy_typical_range,True,True,是,True,形成能,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0086,mp_bal_v2_0192_band_gap_negative,resp_020c0dfad1b24c3b,task_b863837c17679f31,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,non_negative_band_gap,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0087,mp_bal_v2_0801_formation_noisy_high,resp_02112d0db3a48856,task_08ed628fbf950e4b,formation_energy,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,形成能;来源可靠性,形成能,主要错误,主要错误,不充分,不充分,高,高,True,是,True,形成能,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict;formation_energy_typical_range,True,True,是,True,形成能,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0088,mp_bal_v2_0628_stability_current,resp_02194fbd6d279a49,task_0936a34a97b308a8,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0089,mp_bal_v2_0489_conductivity_gap_conflict,resp_02196dd03a5c4469,task_a3950bb8d241dc74,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,电导率-带隙一致性,电导率-带隙一致性,主要错误,主要错误,充分,充分,高,高,True,是,True,电导率-带隙一致性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,conductivity_band_gap_consistency,True,True,是,True,电导率-带隙一致性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0090,mp_bal_v2_0482_band_gap_current,resp_0226ddf1557b1aba,task_4425891df91376b1,band_gap,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0091,mp_bal_v2_0292_formation_current,resp_0234289563a7991e,task_f200b2872c0abb9c,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0092,mp_bal_v2_0597_formation_current,resp_023d7426b05c1378,task_6fba02dbecdcf9c5,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0093,mp_bal_v2_0748_stability_current,resp_0240428b3221a165,task_d8e7f91f943237de,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0094,mp_bal_v2_0184_band_gap_current,resp_024333022c07fd30,task_af8d33a8b4a73799,band_gap,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0095,mp_bal_v2_0355_stability_incomplete,resp_024ab07be8a53791,task_e2cf7b8c8bf73e5b,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0096,mp_bal_v2_0752_formation_current,resp_02502b7bbc7b4b9f,task_931a7ac757b09535,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0097,mp_bal_v2_0689_stability_current,resp_0254bdaf16ec150e,task_5585505c5a672930,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0098,mp_bal_v2_0041_band_gap_current,resp_025a262155faaf8a,task_63d226241cf0e74d,band_gap,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0099,mp_bal_v2_0584_band_gap_current,resp_0263d8867645eb6a,task_933afefcfba2f5fd,band_gap,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0100,mp_bal_v2_0114_formation_current,resp_0267c851ee2e91f2,task_9656e4f8a978d783,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0101,mp_bal_v2_0331_formation_noisy_high,resp_026de1a102e933be,task_0424f286c97e3ba3,formation_energy,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,形成能;来源可靠性,形成能,主要错误,主要错误,不充分,不充分,高,高,True,是,True,形成能,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,formation_energy_typical_range,True,True,是,True,形成能,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0102,mp_bal_v2_0577_formation_current,resp_0270f5ac75d48363,task_138e68f15da70891,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0103,mp_bal_v2_0606_band_gap_negative,resp_02749c33051e6d52,task_d3e15004857ceea7,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,non_negative_band_gap,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0104,mp_bal_v2_0577_conductivity_gap_conflict,resp_029f3d956175e378,task_db197b81010973ae,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,电导率-带隙一致性,电导率-带隙一致性,主要错误,主要错误,充分,充分,高,高,True,是,True,电导率-带隙一致性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,conductivity_band_gap_consistency,True,True,是,True,电导率-带隙一致性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0105,mp_bal_v2_0001_band_gap_high,resp_02a36f9b7bfde6fc,task_c77e756aaac6944d,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,band_gap_physical_range,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0106,mp_bal_v2_0923_band_gap_negative,resp_02b6bdf8ef6646fc,task_a002c69a70ea4e69,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,non_negative_band_gap,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0107,mp_bal_v2_0242_band_gap_negative,resp_02be16c42f4f35b3,task_473c81c203cf681f,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,non_negative_band_gap,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0108,mp_bal_v2_0119_band_gap_high,resp_02c39eee6f2fca99,task_d1375564bab56fc6,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,带隙;来源可靠性,带隙,主要错误,主要错误,不充分,不充分,高,高,True,是,True,带隙,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,band_gap_physical_range,True,True,是,True,带隙,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0109,mp_bal_v2_0269_stability_incomplete,resp_02caf082ee15004a,task_5fb6df50e9530c96,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0110,mp_bal_v2_0368_conductivity_gap_conflict,resp_02cc2dcf0fb15c9d,task_b3f5b5b3d3fdfaa9,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,电导率-带隙一致性,电导率-带隙一致性,主要错误,主要错误,充分,充分,高,高,True,是,True,电导率-带隙一致性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,conductivity_band_gap_consistency,True,True,是,True,电导率-带隙一致性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0111,mp_bal_v2_0067_formation_current,resp_02cdd1c21c3f9e36,task_fbd5c8dece262c5b,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0112,mp_bal_v2_0507_band_gap_current,resp_02d34b03d3bea176,task_82634dd278e0735e,band_gap,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0113,mp_bal_v2_0853_formation_noisy_high,resp_02d9f4f2957499fa,task_7c567e9c1f2918e5,formation_energy,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,形成能;来源可靠性,形成能,主要错误,主要错误,不充分,不充分,高,高,True,是,True,形成能,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,formation_energy_typical_range,True,True,是,True,形成能,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0114,mp_bal_v2_0133_conductivity_gap_conflict,resp_02e2584a2078bf05,task_0cf4c22a6a2b9716,band_gap,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,否,电导率-带隙一致性,无违规,主要错误,无违规,不充分,不充分,中,中,False,是,True,电导率-带隙一致性,主要错误,回答存在内部性质矛盾或在缺乏必要证据时作出确定科学断言,protocol_rule_resolution,True,conductivity_band_gap_consistency,True,True,是,True,电导率-带隙一致性,主要错误,"问题明确以""根据带隙判断""为框架，所给带隙=0.0 eV。回答同时断言""N2是绝缘体，带隙为0.0 eV""，将0 eV带隙与绝缘体标签并列，构成内部物理矛盾（0 eV带隙按定义对应金属，非绝缘体）。该不一致与N2真实物性无关，属于电导率-带隙一致性违规。",independent_third_human_adjudication
BLIND-0115,mp_bal_v2_0826_stability_incomplete,resp_0316a2a5b5dfc4ce,task_079e1760bbf2fff1,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0116,mp_bal_v2_0211_stability_incomplete,resp_03172b8f871f6a6e,task_24be92e55959bbd6,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0117,mp_bal_v2_0410_band_gap_current,resp_0317c744207af544,task_125f1f37b355a33e,band_gap,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0118,mp_bal_v2_0895_stability_incomplete,resp_032020e31d13baa8,task_10d5631db24d941c,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0119,mp_bal_v2_0173_formation_current,resp_03259d64822a48e7,task_b7fe803e5ddbd61a,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,True,elemental_formation_energy_reference_conflict,True,True,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0120,mp_bal_v2_0644_stability_current,resp_0334f8fe3da21bf0,task_fa970625764a7aef,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,True,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0121,mp_bal_v2_0682_stability_incomplete,resp_0335d2836b734b14,task_337aff8e29f50875,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0122,mp_bal_v2_0834_stability_current,resp_034f45ae91e9af35,task_18fd0af42845cadc,formation_energy,current,materials_project_derived,mp_property_derived,controlled_balanced,否,否,无违规,无违规,无违规,无违规,充分,充分,高,高,True,否,False,无违规,无违规,两位专家一致判为无科学违规,protocol_rule_resolution,False,,False,False,否,False,无违规,无违规,两位盲法专家一致判为无科学违规,reviewer_consensus
BLIND-0123,mp_bal_v2_0724_formation_noisy_high,resp_0386b3175359970b,task_fd655b1eeffec26d,formation_energy,outdated_or_incorrect,materials_project_derived,mp_property_derived,controlled_balanced,是,是,形成能;来源可靠性,形成能,主要错误,主要错误,不充分,不充分,高,高,True,是,True,形成能,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,formation_energy_typical_range,True,True,是,True,形成能,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
BLIND-0124,mp_bal_v2_0889_stability_incomplete,resp_039199d39b811eaa,task_e9bab50db22c448e,stability,incomplete,materials_project_derived,mp_property_derived,controlled_balanced,是,是,稳定性;来源可靠性,稳定性,主要错误,主要错误,不充分,不充分,高,高,True,是,True,稳定性,主要错误,两位专家一致判为科学违规,protocol_rule_resolution,True,cautious_stability_claim,True,True,是,True,稳定性,主要错误,两位盲法专家一致判为科学违规,reviewer_consensus
